Year,Location,Location Description,Site Number,Colony Size Class,Colony Location Class,Count,Type of Info,Lat,Long,Notes,Collector,Source
1974,Belle Chain Islets,,9,3,,6,Pair,48.8335,-123.2009,,,Campbell 1976
1976,Belle Chain Islets,,9,3,,6,Nests,48.8335,-123.2009,,,B.C. Nest Record Scheme
1977,Belle Chain Islets,,9,3,,25,Nests,48.8335,-123.2009,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1980,Belle Chain Islets,,9,3,,37,Nests,48.8335,-123.2009,,"E Perkins, R Gibbs, J Goodall",B.C. Nest Record Scheme
1981,Belle Chain Islets,,9,3,,78,Nests,48.8335,-123.2009,,"M McNall, S Webb, L Giliberti",B.C. Nest Record Scheme
1986,Belle Chain Islets,,9,3,,56,Nests,48.8335,-123.2009,,,Vermeer and Devito 1989
2009,Belle Chain Islets,,9,3,,18,Nests,48.8335,-123.2009,,T. Golumbia,Todd Golumbia pers. comm. 2009
1974,Bird Islet,,10,2,,3,Nests,49.3633,-123.2914,,,Moira Lemon
1981,Bird Islet,,10,2,,2,Nests,49.3633,-123.2914,,,Moira Lemon
1986,Bird Islet,,10,2,,38,Nests,49.3633,-123.2914,,,Vermeer and Devito 1989
1999,Bird Islet,,10,2,,31,Nests,49.3633,-123.2914,,,"Moira Lemon, Sullivan et al. 2002"
2010,Bird Islet,,10,2,,15,Nests,49.3633,-123.2914,,,
1974,Canoe Islet,,11,3,,67,Pair,49.0282,-123.5887,,,Campbell 1976
1976,Canoe Islet,,11,3,,37,Pair,49.0282,-123.5887,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1977,Canoe Islet,,11,3,,57,Pair,49.0282,-123.5887,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1978,Canoe Islet,,11,3,,50,Nests,49.0282,-123.5887,,"HR Carter, MS Rodway, JA Rodway, MJ Sowden",B.C. Nest Record Scheme
1986,Canoe Islet,,11,3,,56,Nests,49.0282,-123.5887,,,Vermeer and Devito 1989
1943,Chain Islets and Great Chain Island,,12,5,,80,Nests,48.4223,-123.2653,,T White,B.C. Nest Record Scheme
1955,Chain Islets and Great Chain Island,,12,5,,1000,Pair,48.4223,-123.2653,,D. Stirling,Drent and Guiguet 1961
1960,Chain Islets and Great Chain Island,,12,5,,850,Pair,48.4223,-123.2653,Orig est of 700-1000 pr,F.A. Gornall,Drent and Guiguet 1961
1968,Chain Islets and Great Chain Island,,12,5,,1754,,48.4223,-123.2653,Combined R Drent ests for Grt Chain & islets,,
1973,Chain Islets and Great Chain Island,,12,5,,1550,Pair,48.4223,-123.2653,,,B.C Nest Record Scheme
1974,Chain Islets and Great Chain Island,,12,5,,1764,Pair,48.4223,-123.2653,,,Campbell 1976
1976,Chain Islets and Great Chain Island,,12,5,,1825,Pair,48.4223,-123.2653,,,B.C Nest Record Scheme
1977,Chain Islets and Great Chain Island,,12,5,,1838,Pair,48.4223,-123.2653,,,B.C Nest Record Scheme
1986,Chain Islets and Great Chain Island,,12,5,,2432,Nests,48.4223,-123.2653,,Vermeer et al 1989,Rodway 1991
2009,Chain Islets and Great Chain Island,,12,5,,1410,Nests,48.4223,-123.2653,,"L Blight, H Carter, T Osler, A Medve",Oak Bay islands GWGU nest counts 2009
1977,Channel Islands,NE Islet,13,1,,1,Nest,48.8014,-123.3818,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
2004,Channel Islands,,13,1,,0,Nests,48.8014,-123.3818,,P. Arcese?,"Unpubl. Data - ""Arcese"" file in GWGU_laura"
1941,Christie Island,,14,5,,1,Nest,49.4996,-123.302,,WSM collection,Drent and Guiguet 1961
1949,Christie Island,,14,5,,2,Nests,49.4996,-123.302,,WSM collection,Drent and Guiguet 1961
1955,Christie Island,,14,5,,247,Nests,49.4996,-123.302,,"Wm. Hughes, BCNRS",Drent and Guiguet 1961
1956,Christie Island,,14,5,,419,Nests,49.4996,-123.302,,"Wm. Hughes, BCNRS",Drent and Guiguet 1961
1958,Christie Island,,14,5,,219,Nests,49.4996,-123.302,,"Wm. Merilees and G.M McKay, BCNRS",Drent and Guiguet 1961
1959,Christie Island,,14,5,,299,Nests,49.4996,-123.302,,"Wm. Merilees and G.M McKay, BCNRS",Drent and Guiguet 1961
1963,Christie Island,,14,5,,300,Pair,49.4996,-123.302,,,B.C. Nest Record Scheme
1968,Christie Island,,14,5,,293,Pair,49.4996,-123.302,Orig est 285-300 pr,R and N Drent,B.C. Nest Record Scheme
1971,Christie Island,,14,5,,300,Pair,49.4996,-123.302,,,B.C. Nest Record Scheme
1974,Christie Island,,14,5,,477,Nests,49.4996,-123.302,,,Campbell 1975
1978,Christie Island,,14,5,,718,Nests,49.4996,-123.302,,,Moira Lemon
1980,Christie Island,,14,5,,499,Nests,49.4996,-123.302,,"P Nott, M McNall",B.C. Nest Record Scheme
1981,Christie Island,,14,5,,558,Nests,49.4996,-123.302,,RW Campbell,B.C Nest Record Scheme
1986,Christie Island,,14,5,,454,Nests,49.4996,-123.302,,,Vermeer and Devito 1989
1999,Christie Island,,14,5,,232,Nests,49.4996,-123.302,,,Sullivan et al 2002
2010,Christie Island,,14,5,,198,Nests,49.4996,-123.302,,,
1935,Chrome Island,,15,3,,150,Pair 'plus young',49.4721,-124.6845,Listed as 'Yellow I',,Munro & Cowan 1947
1974,Chrome Island,,15,3,,1,Pair,49.4721,-124.6845,,,Campbell 1976
